"","AF","PY","TC"
"91","PUNJA, SALIMA;BUKUTU, CECILIA;SHAMSEER, LARISSA;SAMPSON, MARGARET;HARDING, LISA;URICHUK, LIANA;VOHRA, SUNITA",2016,36
"92","NINCI, JENNIFER;NEELY, LESLIE C.;HONG, EE REA;BOLES, MARGOT B.;GILLILAND, WHITNEY D.;GANZ, JENNIFER B.;DAVIS, JOHN L.;VANNEST, KIMBERLY J.",2015,23
"93","CHUNG, HYEWON;KIM, JISEON;PARK, RYOUNGSUN",2012,0
"94","PUSTEJOVSKY, JAMES E.;HEDGES, LARRY V.;SHADISH, WILLIAM R.",2014,77
"95","WENDT, OLIVER;MILLER, BRIDGET",2012,69
"96","RICHMAN, DAVID M.;BARNARD-BRAK, LUCY;GRUBB, LAURA;BOSCH, AMANDA;ABBY, LAYLA",2015,53
"97","JAMSHIDI, LALEH;DECLERCQ, LIES;FERNANDEZ-CASTILLA, BELEN;FERRON, JOHN M.;MOEYAERT, MARIOLA;BERETVAS, S. NATASHA;VAN DEN NOORTGATE, WIM",2020,2
"98","MAGGIN, DANIEL M.;BRIESCH, AMY M.;CHAFOULEAS, SANDRA M.",2013,118
"99","MORANO, STEPHANIE;RUIZ, SALVADOR;HWANG, JIWON;WERTALIK, JENNIFER L.;MOELLER, JEREMY;KARAL, MUHAMMED AKIF;MULLOY, AUSTIN",2017,4
"100","ZENG, SONGTIAN;ZHAO, HONGXIA;HU, XIAOYI;PEREIRA, BRITTANY A.;PAN, QICHAO;MENG, CHEN;REYES, ARAZELIZ;STONE-MACDONALD, ANGELA",2022,0
"101","JAMSHIDI, LALEH;HEYVAERT, MIEKE;DECLERCQ, LIES;FERNANDEZ-CASTILLA, BELEN;FERRON, JOHN M.;MOEYAERT, MARIOLA;BERETVAS, S. NATASHA;ONGHENA, PATRICK;VAN DEN NOORTGATE, WIM",2018,26
"102","MAGGIN, DANIEL M.;LANE, KATHLEEN LYNNE;PUSTEJOVSKY, JAMES E.",2017,15
"103","KLEINERT, WHITNEY L.;CODDING, ROBIN S.;MINAMI, TAKUYA;GOULD, KAITLIN",2018,8
"104","NEIL, NICOLE;AMICARELLI, ASHLEY;ANDERSON, BRIANNA M.;LIESEMER, KAILEE",2021,2
"105","GERALD, MICHAEL;ESTRADA-HERNANDEZ, NOEL;WADSWORTH, JOHN",2019,0
"106","MOEYAERT, MARIOLA;UGILLE, MAAIKE;FERRON, JOHN M.;BERETVAS, S. NATASHA;VAN DEN NOORTGATE, WIM",2013,14
"107","ODOM, SL;STRAIN, PS",2002,44
"108","MOEYAERT, MARIOLA;YANG, PANPAN;XU, XINYUN;KIM, ESTHER",NA,3
"109","PERRY, VALERIE;ALBEG, LOREN;TUNG, CATHERINE",2012,13
"110","PUSTEJOVSKY, JAMES E.",2018,64
"111","TEUT, MICHAEL;LINDE, KLAUS",2013,7
"112","SEN, NIHAL",2022,0
"113","ROTH, MATTHEW;GILLIS, JENNIFER;REED, FLORENCE",2014,35
"114","KWASNICKA, DOMINIKA;INAUEN, JENNIFER;NIEUWENBOOM, WIM;NURMI, JOHANNA;SCHNEIDER, ANNEGRET;SHORT, CAMILLE E.;DEKKERS, TESSA;WILLIAMS, A. JESS;BIERBAUER, WALTER;HAUKKALA, ARI;PICARIELLO, FEDERICA;NAUGHTON, FELIX",2019,20
"115","TANIOUS, RENE;ONGHENA, PATRICK",2021,8
"116","WEHMEYER, MICHAEL;PALMER, SUSAN;SMITH, SEAN;PARENT, WENDY;DAVIES, DANIEL;STOCK, STEVEN",2006,58
"117","MA, HSEN-HSING",2006,201
"118","MAGGIN, DANIEL M.;O'KEEFFE, BREDA V.;JOHNSON, AUSTIN H.",2011,81
"119","TINCANI, MATT;DE MERS, MARILYN",2016,12
"120","REICHOW, BRIAN;BARTON, ERIN E.;MAGGIN, DANIEL M.",2018,35
"121","VAN DIJK, WILHELMINA;GAGE, NICHOLAS A.",2019,3
"122","BARAGASH, REEM SULAIMAN;AL-SAMARRAIE, HOSAM;ALZAHRANI, AHMED IBRAHIM;ALFARRAJ, OSAMA",2020,22
"123","DENIS, JO;VAN DEN NOORTGATE, WIM;MAES, BEA",2011,29
"124","MCCORMACK, JESSICA C.;ELLIFFE, DOUGLAS;VIRUES-ORTEGA, JAVIER",2019,11
"125","MERLE, JAMES L.;THAYER, ANDREW J.;LARSON, MADELINE F.;PAULING, SYDNEY;COOK, CLAYTON R.;RIOS, JOSEPH A.;MCGINNIS, JENNA L.;SULLIVAN, MARGARET M.",2022,5
"126","PUSTEJOVSKY, JAMES E.",2019,31
"127","XESUS FROJAN-PARGA, MARIA;DE PRADO-GORDILLO, MIGUEL NUNEZ;ALVAREZ-IGLESIAS, ALEJANDRA;ALONSO-VEGA, JESUS",2019,2
"128","ODOM, SAMUEL L.;BARTON, ERIN E.;REICHOW, BRIAN;SWAMINATHAN, HARIHARAN;PUSTEJOVSKY, JAMES E.",2018,15
"129","WURTHMANN, C;KLIESER, E;LEHMANN, E;KRAUTH, J",1996,5
"130","RAPOFF, MICHAEL;STARK, LORI",2008,27
"131","BUSSE, RT;KRATOCHWILL, TR;ELLIOTT, SN",1995,62
"132","VEGAS, KRISTOPHER C.;JENSON, WILLIAM R.;KIRCHER, JOHN C.",2007,5
"133","PRIDAY, L. J.;BYRNE, C.;TOTSIKA, V.",2017,16
"134","GRABEIN, B.;GRANINGER, W.;RODRIGUEZ-BANO, JESUS;DINH, A.;LIESENFELD, D. B.",2017,95
"135","ROSS, SARAH G.;BEGENY, JOHN C.",2014,17
"136","BROSSART, DANIEL F.;LAIRD, VANESSA C.;ARMSTRONG, TREY W.",2018,58
"137","WHALON, KELLY J.;CONROY, MAUREEN A.;MARTINEZ, JOSE R.;WERCH, BRITTANY L.",2015,76
"138","BURNS, MATTHEW",2012,14
"139","SOLOMON, BENJAMIN G.;HOWARD, TAYLOR K.;STEIN, BRIT'NY L.",2015,19
"140","HEYVAERT, MIEKE;SAENEN, LORE;MAES, BEA;ONGHENA, PATRICK",2015,3
"141","KARASU, NECDET",2011,5
"142","KEMP, ANDREW H.;FISHER, ZOE",NA,1
"143","BULTE, ISIS;ONGHENA, PATRICK",2013,44
"144","SCHLOSSER, RW;SIGAFOOS, J",2006,67
"145","AYDIN, ORHAN;TEKIN-IFTAR, ELIF",2020,3
"146","HEMBRY, IAN;BUNUAN, ROMMEL;BERETVAS, S. NATASHA;FERRON, JOHN M.;VAN DEN NOORTGATE, WIM",2015,13
"147","CHEZAN, LAURA C.;WOLFE, KATIE;DRASGOW, ERIK",2018,12
"148","BYIERS, BREANNE J.;REICHLE, JOE;SYMONS, FRANK J.",2012,149
"149","SWAN, DANIEL M.;PUSTEJOVSKY, JAMES E.",2018,19
"150","TARLOW, KEVIN R.;BROSSART, DANIEL F.",2018,10
"151","PERELMUTTER, BOGI;MCGREGOR, KARLA K.;GORDON, KATHERINE R.",2017,50
"152","PATTERSON, STEPHANIE Y.;SMITH, VERONICA;MIRENDA, PAT",2012,54
"153","OZKAN, SERIFE YUCESOY;SONMEZ, MINE",2011,6
"154","GUZMAN, GUADALUPE;GOLDBERG, TARYN S.;SWANSON, H. LEE",2018,12
"155","KRONISH, IAN M.;HAMPSEY, MEGHAN;FALZON, LOUISE;KONRAD, BEATRICE;DAVIDSON, KARINA W.",2018,15
"156","HUTCHINS, NANCY S.;BURKE, MACK D.;BOWMAN-PERROTT, LISA;TARLOW, KEVIN R.;HATTON, HEATHER",2020,10
"157","ALEMAYEHU, CHALACHEW;NIKLES, JANE;MITCHELL, GEOFFREY",2018,5
"158","SMITH, JUSTIN D.",2012,313
"159","RADLEY, KEITH C.;DART, EVAN H.;FISCHER, AARON J.;COLLINS, TAI A.",2020,11
"160","BAEK, EUNKYENG;LUO, WEN;HENRI, MARIA",2022,3
"161","SNODGRASS, MELINDA R.;CHUNG, MOON Y.;MEADAN, HEDDA;HALLE, JAMES W.",2018,51
"162","WALKER, VIRGINIA L.;SNELL, MARTHA E.",2013,66
"163","MEGANCK, REITSKE;INSLEGERS, RUTH;KRIVZOV, JURI;NOTAERTS, LIZA",2017,8
"164","DEMEYIN, WEYINMI A.;FROST, JULIA;UKOUMUNNE, OBIOHA C.;BRISCOE, SIMON;BRITTEN, NICKY",2017,13
"165","HONG, EE REA;GANZ, JENNIFER B.;MASON, ROSE;MORIN, KRISTI;DAVIS, JOHN L.;NINCI, JENNIFER;NEELY, LESLIE C.;BOLES, MARGOT B.;GILLILAND, WHITNEY D.",2016,39
