"","AF","PY","TC"
"2100","DARKO, ANGELA;DAS, KASTURI;BHALLA, RAHULDEV S.;HELLER, DEBRA",2006,11
"2101","HUANG, H. Y.;SHAH, L. M.;MCNALLY, J. S.;SANT, T.;HUTCHINS, T. A.;GOLDSTEIN, E. D.;PECKHAM, M. E.",2021,2
"2102","AYALON, LIAT;GUM, AMBER M.;FELICIANO, LEILANI;AREAN, PATRICIA A.",2006,153
"2103","NUYTEMANS, LAURE;SYS, GWEN;CREYTENS, DAVID;LAPEIRE, LORE",2021,4
"2104","SOYLU, ERDINC;HARLING, LEANNE;ASHRAFIAN, HUTAN;ATTARAN, SAINA;ATHANASIOU, CHRISTINA;PUNJABI, PRAKASH P.;CASULA, ROBERTO;ATHANASIOU, THANOS",2016,9
"2105","ALLEN, CW;HNEIHEN, AS",1999,5
"2106","MARKMAN, MAURIE;KRAMER, KIM;ALVAREZ, RICARDO H.;WEISS, GLEN J.;AHN, EUGENE;DANEKER, GEORGE WILLIAM",2016,3
"2107","JITENDRA, ASHA K.;BURGESS, CLARE;GAJRIA, MEENAKSHI",2011,58
"2108","SCHULZ, GM",2002,21
"2109","REDDY, LINDA A.;DE THOMAS, COURTNEY ANNE;NEWMAN, ERIK;CHUN, VICTORIA",2009,24
"2110","SEKERCI, AHMET-ERCAN;BALTA, BURHAN;DUNDAR, MUNIS;HU, YING;REICHENBERGER, ERNST-J.;ETOZ, OSMAN-A.;NAZLIM, SINAN;BAYRAKDAR, IBRAHIM-SEVKI",2014,5
"2111","MORGAN, MB;TRUITT, CA;ROMER, C;SOMACH, S;PITHA, JV",1998,17
"2112","ABBATE, CARLO;TRIMARCHI, PIETRO DAVIDE;MANZONI, LAURA;QUARENGHI, ANNA MARIA;SALVI, GIAN PIETRO;INGLESE, SILVIA;GIUNCO, FABRIZIO;BAGAROLO, RENZO;MARI, DANIELA;AROSIO, BEATRICE",2018,1
"2113","YUAN, WEIZHONG;HUANG, WEIWEI;ZOU, HUI",2016,5
"2114","HITTNER, JAMES B.;MAY, KIM",2012,1
"2115","CAMERON, MR;KLUSMEYER, TH;LYNCH, GL;CLARK, JH;NELSON, DR",1991,103
"2116","RANDO, EMANUELE;GIOVANNENZE, FRANCESCA;MURRI, RITA;SACCO, EMILIO",2022,0
"2117","ZAKHAROVA, N. V.;AKKULEVA, K. T.;MALYGIN, A. A.",2020,0
"2118","NARAYANAN, S;MADDA, JP;JOHNY, M;VARGA, G;PRAKASH, B;KOSHY, A",1998,15
"2119","EL SAMAD, Y.;FUKS, D.;LEPAGE, L.;HAMDAD, F.;DUMONT, F.;BELMEKKI, M.;REJIMBEAU, J. -M.;LESCURE, F. -X.;DOUADI, Y.;SMAIL, A.;THOMAS, D.;SCHMIT, J. -L",2006,2
"2120","SINHASAN, SANKAPPA P.;BHARATHI, K. V.;BHAT, RAMACHANDRA V.;DASIAH, SIMON DAVID",2014,3
"2121","VAZMITEL, MARINA;SPAGNOLO, DOMINIC V.;NEMCOVA, JANA;MICHAL, MICHAL;KAZAKOV, DMITRY V.",2008,23
"2122","SAMOLADAS, E. P.;O'DOWD, J.;CARDOSO-ALMEIDA, A.;DEMETRIADES, A. K.",2013,3
"2123","KLIMOVA, BLANKA;DZIUBA, SZYMON;CIERNIAK-EMERYCH, ANNA",2020,6
"2124","NAKAMURA, HIROKI;PURI, PREM",2020,5
"2125","GABREYES, ALEMAYEHU A.;ABBASI, HINA NAZ;FORBES, KIRSTEN P.;MCQUAKER, GRANT;DUNCAN, ANDREW;MORRISON, IAN",2013,57
"2126","SAID, SALAH A. M.;VAN DER SLUIS, AIZE;KOSTER, KENNETH;SIE, HAUW;SHAHIN, GHADA M. M.",2010,7
"2127","DE SCHEEMAEKERE, XAVIER;OOSTERLINCK, KIM;SZAFARZ, ARIANE",2015,6
"2128","WHITE, LYDIA;MEHLMAN, CHARLES T.;CRAWFORD, ALVIN H.",2010,67
"2129","MINNITI, S;VALENTINI, M;PINALI, L;MALAGO, R;LESTANI, M;PROCACCI, C",2004,22
"2130","MAN, XIAXIA;WEI, ZHENTONG;WANG, BAOGANG;LI, WANYING;TONG, LINGLING;GUO, LIANG;ZHANG, SONGLING",2021,2
"2131","LIU, XIAOLEI;HUANG, JIA;TAN, HAIDONG;YANG, ZHIYING",2018,7
"2132","WHITE, CLAIRE;ATCHAN, MARJORIE",2022,0
"2133","MIAO, JIANGUANG;HU, JIEBIN;WU, JILIN;GUO, WEI;CHEN, JINBO;LI, JIN",2022,0
"2134","BURNHAM, TAYLOR;CONGER, AARON;TATE, QUINN;CUSHMAN, DANIEL M.;KENDALL, RICHARD;SCHNEIDER, BYRON;MCCORMICK, ZACHARY L.",2019,2
"2135","[ANONYMOUS]",2008,1
"2136","GENTILE, SALVATORE",2013,28
"2137","MESA-LOPEZ, MARIA JOSE;MARTINEZ-CAMACHO, CARINA;MESA, FRANCISCO",2022,1
"2138","GROVES, EMILY A.;AUSTIN, JENNIFER L.",2020,5
"2139","AL-ATTAS, ALAWI A.;ALDAYEL, ABDULRABMAN Y.;ESKANDRANI, ALAA M.;BIARY, NABIL",2022,0
"2140","SCHLAILE, MICHAEL P.;BOGNER, KRISTINA;MUELDER, LAURA",2021,4
"2141","KILPATRICK, SE;PIKE, EJ;WARD, WG;POPE, TL",1997,17
"2142","BIESBROEK, G. ROBBERT;KLOSTERMANN, JUDITH E. M.;TERMEER, CATRIEN J. A. M.;KABAT, PAVEL",2013,328
"2143","GLEASON, JOSEPH M.;BOWLIN, PAUL R.;BAGLI, DARIUS J.;LORENZO, ARMANDO J.;HASSOUNA, TAREK;KOYLE, MARTIN A.;FARHAT, WALID A.",2015,51
"2144","AKSOY, FG;GOMORI, JM",2000,31
"2145","FONTENOT, TATYANA E.;DENIWAR, AHMAD;BHATIA, PARISHA;AL-QURAYSHI, ZAID;RANDOLPH, GREGORY W.;KANDIL, EMAD",2015,32
"2146","MARINI, FRANCESCA;GIUSTI, FRANCESCA;TONELLI, FRANCESCO;BRANDI, MARIA LUISA",2020,2
"2147","HONAVAR, M;THARAKAN, JKJ;HUGHES, RAC;LEIBOWITZ, S;WINER, JB",1991,119
"2148","AWNI, SARAH;CONN, BRENDAN",2016,5
"2149","WILLIAMSON, PAMELA;CARNAHAN, CHRISTINA R.;BIRRI, NICOLE;SWOBODA, CHRISTOPHER",2015,26
"2150","KING, SETH A.;LEMONS, CHRISTOPHER J.;DAVIDSON, KIMBERLY A.",2016,61
"2151","WEIR, B",1992,55
"2152","SCHWARTZ, MYRNA F.;DELL, GARY S.",2010,59
"2153","PINKIEWICZ, MILOSZ;DOROBISZ, KAROLINA;ZATONSKI, TOMASZ",2022,0
"2154","FALCONE, MARCO;PRETO, MIRKO;TIMPANO, MASSIMILIANO;CICLAMINI, DAVIDE;CROSIO, ALESSANDRO;GIACALONE, FRANCESCO;BATTISTON, BRUNO;TOS, PIERLUIGI;GONTERO, PAOLO",2021,6
"2155","HATANAKA, KAZUHITO;YOSHIOKA, TAKAKO;TASAKI, TAKASHI;TANIMOTO, AKIHIDE",2013,3
"2156","ANNEST, NICOLE M.;VANBEEK, MARTA J.;ARPEY, CHRISTOPHER J.;WHITAKER, DUANE C.",2007,68
"2157","SU, NA;LI, HOUBIN;HUANG, YU;ZHANG, XIONGZHI",2015,8
"2158","BLOMBERG, M.;JEPPESEN, E. M.;SKOVBY, F.;BENFELDT, E.",2010,24
"2159","HWANG, JIWON;RICCOMINI, PAUL J.",2016,16
"2160","KAAT, AARON J.;LECAVALIER, LUC",2013,57
"2161","WIEBE, COLIN B.;PETRICCA, GIORGIO;HAKKINEN, LARI;JIANG, GUOQIAO;WU, CHUANYUE;LARJAVA, HANNU S.",2008,32
"2162","WILSON, SL;POWELL, GE;BROCK, D;THWAITES, H",1996,11
"2163","HU, YANG-GEN;WANG, WEN-QING;DING, MING-WU",2010,3
"2164","VOLANTE, MARCO;BIROCCO, NADIA;GATTI, GAIA;DUREGON, ELEONORA;LORIZZO, KATIA;FAZIO, NICOLA;SCAGLIOTTI, GIORGIO V.;PAPOTTI, MAURO",2014,17
"2165","ERTURK, BUKET;MACHALICEK, WENDY;DREW, CHRISTINE",2018,10
"2166","PENNINGTON, ROBERT C.",2010,119
"2167","STEED, ELIZABETH A.;KRANSKI, TESSA A.",2020,5
"2168","ESKANDER, M. S.;CONNOLLY, P. J.;ESKANDER, J. P.;BROOKS, D. D.",2009,16
"2169","D'ADDESSI, ALESSANDRO;VITTORI, MATTEO;RACIOPPI, MARCO;PINTO, FRANCESCO;SACCO, EMILIO;BASSI, PIERFRANCESCO",2012,24
"2170","PEREDO, TATIANA NOGUEIRA;ZELAYA, MARIA ISABEL;KAISER, ANN P.",2018,21
"2171","TONKO, JOHANNA B.;BLAUTH, CHRISTOPHER;ROSENTHAL, ERIC;RINALDI, CHRISTOPHER A.",2021,2
"2172","YU, SEUNG H.;BEIRNE, O. ROSS",2010,133
"2173","LOUGHAN, ASHLEE R.;ALLEN, AISLYN;PERNA, ROBERT;MALKIN, MARK G.",2016,14
"2174","DE GROOT, ANTON C.",2022,0
"2175","UCHIKADO, H;DELLEDONNE, A;UITTI, R;DICKSON, D",2006,32
"2176","ZHENG, XINHUA;FLYNN, LINDSAY J.;SWANSON, H. LEE",2013,50
"2177","KHALAF, RACHA T.;RUAN, WENLY;ORKIN, SARAH;WILSEY, MICHAEL;FISHMAN, DOUGLAS S.;MALLON, DANIEL;PAN, ZHAOXING;HAZLETON, KEITH Z.;KRAMER, ROBERT E.;WALKER, THOMAS",2020,14
"2178","HAYNES, PHILIP;ALEMNA, DAVID",NA,0
"2179","MOREIRA, INES;PEREIRA, JOSUE;OLIVEIRA, JOANA;SALVADOR, SERGIO F.;VAZ, RUI",2016,10
"2180","GIE, ANDRE GEORGE;HUBBLE, TALIA ROSE;REGIN, YANNICK;SALAETS, THOMAS;ZAMORA, MONICA;DEPREST, JAN;TOELEN, JAAN",2021,1
"2181","MANTZOROS, THEONI;MCCOY, ASHLEY R.;LEE, DAVID L.",2022,1
"2182","HORENSTEIN, MG;ERLANDSON, RA;GONZALEZ-CUETO, DM;ROSAI, J",1998,55
"2183","PETRENKO, YULIIA P.;KHOMENKO, DMYTRO M.;DOROSHCHUK, ROMAN O.;SHOVA, SERGIU;NOVITCHI, GHENADIE;PIASTA, KAROLINA;GUMIENNA-KONTECKA, ELZBIETA;LAMPEKA, ROSTYSLAV D.",2020,3
"2184","EL-SERAG, HB;TALLEY, NJ",2004,195
"2185","EIDE, NILS;WALAAS, LISA",2009,86
"2186","TAKASHIMA, M;YONEZAWA, S;TOKUNO, T;UMEHARA, H;KATO, T",2001,11
"2187","PARKER-MCGOWAN, QUANNAH;CHEN, MO;REICHLE, JOE;PANDIT, SHIVANI;JOHNSON, LEANNE;KREIBICH, SHELLEY",2014,12
"2188","YU, TAO;WANG, HONGQUAN;ZHENG, SHUHAN;HUO, LIANG",2021,0
"2189","ZHANG, CHENG-LONG;WU, YI-XIAN;XU, XU;LI, YAN;FENG, LI;WU, GUAN-YING",2008,17
"2190","GIRI, SACHIN;WAGHMODE, AVINASH;TUMRAM, NILESH KESHAV",2019,1
"2191","COLOSIMO, AJ;IRELAND, ML",1992,26
"2192","ALMALKI, MUSSA H.;ALJOAIB, NORA NASSER;ALOTAIBI, MAHA JURAIS;ALDABAS, BAYAN SALOUM;WAHEDI, TAYBA SALEH;AHMAD, MASWOOD M.;ALSHAHRANI, FAHAD",2017,25
"2193","ETTE, EI;WILLIAMS, PJ;LANE, JR",2004,47
"2194","SOLARI, EMILY J.;KEHOE, KAREN F.;HALL, COLBY;VARGAS, ISABEL;DAHL-LEONARD, KATLYNN;RICHMOND, CASSIDI L.;HENRY, ALYSSA R.;COOK, LYSANDRA;HAYES, LATISHA;CONNER, CARLIN;CHO, EUNSOO",2022,0
"2195","O'BRIEN, KERRY L.;PEREIRA, SHALINI E.;WAGNER, JEFFREY;SHADMAN, MAZYAR;HENDRIE, PAUL;NELSON, KAREN;GERNSHEIMER, TERRY B.;PRICE, THOMAS;REYES, JORGE D.;NESTER, THERESA",2013,10
"2196","DOTAN, MIRI;NAHUM, ELHANAN;WEIGL, DANIEL;BILAVSKY, EFRAIM",2014,6
"2197","DEVIC, PERRINE;PETER-DEREX, LAURE;RICHARD-MORNAS, AURELIE;ERNESTO, SYLVIE;NESME, PASCALE;MAUGUIERE, FRANCOIS;RHEIMS, SYVAIN",2020,2
"2198","LIU, XIAOLEI;YANG, ZHIYING;TAN, HAIDONG;XU, LI;SUN, YONGLIANG;SI, SHUANG;LIU, LIGUO;ZHOU, WENYING;HUANG, JIA",2017,11
"2199","WEIDE, B;WALZ, T;GARBE, C",2000,54
"2200","CARR, SILVANA B.;BERGAMO, DALE F.;EMMANUEL, PATRICIA J.;FERREIRA, JOSE A.",2014,14
"2201","MOLLER-HARTMANN, W;KRINGS, T;BRUNN, A;KORINTH, M;THRON, A",2002,35
"2202","CZAPIEWSKI, PIOTR;WAZNY, KRZYSZTOF;LEWICKA-NOWAK, EWA;BIERNAT, WOJCIECH",2012,1
"2203","HERMAN, CIARA;HEALY, OLIVE;LYDON, SINEAD",2018,15
"2204","WEI, XUEFENG;ZHANG, XU;SONG, ZIMU;WANG, FENG",2021,2
"2205","FITE, NATHAN M.;MORRISON, JULIE Q.;HAWKINS, RENEE O.;NEWMAN, CHRISTA;ROJAS-GUYLER, LILIANA",2021,0
"2206","LANG, CJG",1996,0
"2207","KRASNY-PACINI, AGATA;CHEVIGNARD, MATHILDE;EVANS, JONATHAN",2014,54
"2208","REINTHAL, EK;SCHLOTE, T;ZIERHUT, M",2001,9
"2209","DE GROOT, ANTON C.",2022,2
"2210","JAN, MERYAM;BROTHERS, ELIZABETH;NAKAGAWA, THOMAS A.",2021,0
"2211","HOSPODAR, C. M.;FELDNER, H. A.;LOGAN, S. W.",NA,1
"2212","CARR, MONICA E.;MOORE, DENNIS W.;ANDERSON, ANGELIKA",2014,6
"2213","KAKKAR, AANCHAL;NAMBIRAJAN, ARUNA;SURI, VAISHALI;SARKAR, CHITRA;KALE, SHASHANK S.;SINGH, MANMOHAN;SHARMA, MEHAR CHAND",2016,14
"2214","YEH, TZU-LAN;LEE, CHIH-YUNG S.;AMZEL, L. MARIO;ESPENSHADE, PETER J.;BIANCHET, MARIO A.",2011,8
"2215","MANN, M;KOLLER, E;MURGO, A;MALOZOWSKI, S;BACSANYI, J;LEINUNG, M",1997,84
"2216","PONTILLO, J;MARINKOVIC, D;TRAN, JA;ARELLANO, M;FLECK, BA;WEN, J;TUCCI, FC;NELSON, J;SAUNDERS, J;FOSTER, AC;CHEN, C",2005,14
"2217","LEVINSON, JOHN S.;AUSTELL, PARIS J.;PLITT, MAX A.;GHAI, RITU;GATTUSO, PAOLO;RUPCICH, CHRISTINE R.;TAJUDEEN, BOBBY A.",NA,0
"2218","FEENEY, TIMOTHY J.;YLVISAKER, MARK",2008,33
"2219","TKACHENKO, OLEKSANDR;SEO, JAEKYO;ARDICHVILI, ALEXANDRE",2022,1
"2220","TAKAOKA, KEN;TAKATA, TOMOJI",2007,9
"2221","BERGENDAL, B.",2008,41
"2222","LI, L;TEICHBERG, S;STECKEL, J;CHEN, QH",2005,10
"2223","SCHUSS, JJ",1991,4
"2224","ZAOUTIS, THEOKLIS E.;ROILIDES, EMMANUEL;CHIOU, CHRISTINE C.;BUCHANAN, WENDY L.;KNUDSEN, TENA A.;SARKISOVA, TATYANA A.;SCHAUFELE, ROBERT L.;SEIN, MICHAEL;SEIN, TIN;PRASAD, PRIYA A.;CHU, JACLYN H.;WALSH, THOMAS J.",2007,143
"2225","LOMBARDO, LISA M.;BAILEY, STEPHANIE N.;FOGLYANO, KEVIN M.;MILLER, MICHAEL E.;PINAULT, GILLES;TRIOLO, RONALD J.",2015,3
"2226","ANGELICO, GIUSEPPE;MARLETTA, STEFANO;BROGGI, GIUSEPPE;VIGNERI, PAOLO;VECCHIO, GIADA MARIA;SALVATORELLI, LUCIA;MAGRO, GAETANO",2022,1
"2227","SCHLUND, MW",1999,31
"2228","COLLIER-MEEK, MELISSA A.;FALLON, LINDSAY M.;DEFOUW, EMILY R.",2017,19
"2229","ANTONELLI, VINCENZO;MAIMONE, GIUSEPPE;D'ANDREA, MARCELLO;TOMASSINI, ALESSIA;BASSI, MASSIMO;TOSATTO, LUIGINO",2021,2
"2230","ZHANG, JING;CUI, YINGXUE;QIN, QING;ZHANG, GUOFENG;LUO, WENHAO;ZHENG, WENJUN",2018,19
"2231","VANNUSCORPS, GILLES;CARAMAZZA, ALFONSO",2017,4
"2232","JIANG, NA;ZHANG, YUN;ZHANG, GUANG-JUN;SUI, YAN-XIA",2022,0
"2233","YOSHIBA, SAYAKA;KAMATANI, TAKAAKI;SOGA, DAISUKE;SHIOGAMA, SUNAO;KUTSUNA, TOMOHIKO;SHINTANI, SATORU",2014,0
"2234","DOUGLAS, TERESA D.;NEWBY, L. KRISTIN;ECKSTRAND, JULIE;WIXTED, DOUGLAS;SINGH, RANI H.",2020,0
"2235","DENG, JUNJIE;SHI, YI;JIANG, WENDING;PENG, YIFENG;LU, LICAN;CAI, YUANLI",2008,70
"2236","LIU, ZHENGJIN;WANG, YONG;LI, JIA;ATOGEBANIA, JULIUS WEDAM;WEI, LING;BAI, FEIHU",2022,0
"2237","ABOU-ZAHR, TARIQ;CARRASCO, DANIEL CALVO;JONES, SARA LOUISE;DUTTON, THOMAS ANTHONY GEORGE",2019,0
"2238","KIYAK, UZEYIR EMRE;TUNA, D. MERVE;IFTAR, ELIF TEKIN",2019,1
"2239","WATT, SARAH J.;WATKINS, JESSIE R.;ABBITT, JASON",2016,22
"2240","ROSSION, BRUNO",2022,1
"2241","SCHULTZ, TIA R.;SCHMIDT, CARLA T.;STICHTER, JANINE P.",2011,81
"2242","SARWATE, ANAND D.;PLIS, SERGEY M.;TURNER, JESSICA A.;ARBABSHIRANI, MOHAMMAD R.;CALHOUN, VINCE D.",2014,36
"2243","ALMOTAIRI, WEJDAN;ALHAMAM, ABDULLAH;ALOTAIBI, AALI;EL SHARKAWY, TAREK;ALSAIF, HIND S.;ALMOUSA, ABDULATIF;ALSOWAYAN, OSSAMAH;ELDARAWANY, HAMED;FADAAK, KAMEL",2021,1
"2244","IWATA, HIDETOSHI;OKAMOTO, HIDEKI;KAWAGUCHI, YOHEI;ENDO, KOJIRO;JOYO, YUJI;AIBA, HISAKI;MURAKAMI, SATONA;MURAKAMI, HIDEKI",2021,0
"2245","DELRUE, CHARLOTTE;VANWALLEGHEM, LIEVE;DE PAEPE, PASCALE;VAN TRAPPEN, PHILIPPE",2022,1
"2246","YANG WAN-QUN;HUANG BIAO;LIANG CHANG-HONG",2012,10
"2247","BURNS, MATTHEW K.;WAGNER, DANA",2008,42
"2248","CHEN, CHAO;ZHANG, WEI;ZHOU, DAOBIN;ZHANG, YAN",2021,0
"2249","LUKINS, D. E.;PILATI, S.;ESCOTT, E. . J.",2016,16
"2250","BENNETT, SJ;WATERSTONE, JJ;CHENG, WC;PARSONS, J",1993,116
"2251","GRANPEESHEH, DOREEN;TARBOX, JONATHAN;DIXON, DENNIS R.",2009,94
"2252","BAE, ERICA HYUNJI;SCHRADER, LARA M.;MACHII, KATSUYUKI;ALONSO-ALONSO, MIGUEL;RIVIELLO, JAMES J., JR.;PASCUAL-LEONE, ALVARO;ROTENBERG, ALEXANDER",2007,117
"2253","MONTAGUE, MARJORIE;DIETZ, SAMANTHA",2009,61
"2254","KOLLER, M;LORENZ, W;DUDA, D;DICK, W",1998,3
"2255","GIUGGIOLI, DILIA;LUMETTI, FEDERICA;COLACI, MICHELE;FALLAHI, POUPAK;ANTONELLI, ALESSANDRO;FERRI, CLODOVEO",2015,105
"2256","FIELENBACH, SANDRA;DONKERS, FRANC C. L.;SPREEN, MARINUS;VISSER, HARMKE A.;BOGAERTS, STEFAN",2018,2
"2257","MARRANI, E.;ABU-RUMEILEH, S.;MASTROLIA, M. V.;MACCORA, I.;PAGNINI, I.;SIMONINI, G.",2022,0
"2258","SEYHUN, NURULLAH;TOPRAK, EBUBEKIR;KAYA, KEREM SAMI;DIZDAR, SENEM KURT;TURGUT, SUAT",2021,1
"2259","SCHAEFER, JOHN M.;ANDZIK, NATALIE R.",2021,10
"2260","RUPARELIYA, CHINTAN;NAQVI, SYEDA;JANI, VISHAL B.",2017,4
"2261","LIU, YU;WANG, JIA-NI;HUANG, YONG;ZHU, YAN-HUA;LIU, RUI-LEI;XU, CHENG-FANG;LI, XI",2016,2
"2262","DEUTSCH, CURTIS K.;DUBE, WILLIAM V.;MCILVANE, WILLIAM J.",2008,31
"2263","FRENCH, K. F.;GARCIA, C.;WOLD, J. J.;HOESCH, R. E.;LEDYARD, H. K.",2011,12
"2264","BODDENBERG, U",2004,19
"2265","PALIWAL, VIJAY KUMAR;BHARGAWA, PUNEET;GUPTA, RAHUL;SARAN, JITENDRA;MATHUR, DEEPAK K.",2015,0
"2266","HOTTENSTEIN, KRISTI N.",2017,0
"2267","SRIVASTAVA, A;PADILLA, O;ALROY, J;UCCI, A;PILICHOWSKA, M;DALEY, B;WOLFE, HJ",2003,10
"2268","RILEY, DAVID S.;BARBER, MELISSA S.;KIENLE, GUNVER S.;ARONSON, JEFFREY K.;VON SCHOEN-ANGERER, TIDO;TUGWELL, PETER;KIENE, HELMUT;HELFAND, MARK;ALTMAN, DOUGLAS G.;SOX, HAROLD;WERTHMANN, PAUL G.;MOHER, DAVID;RISON, RICHARD A.;SHAMSEER, LARISSA;KOCH, CHRISTIAN A.;SUN, GORDON H.;HANAWAY, PATRICK;SUDAK, NANCY L.;KASZKIN-BETTAG, MARIETTA;CARPENTER, JAMES E.;GAGNIER, JOEL J.",2017,518
"2269","RIVAS, CAROL;VIGURS, CAROL;CAMERON, JACQUI;YEO, LUCIA",2019,26
"2270","STEPHAN, K. E.;SCHLAGENHAUF, F.;HUYS, Q. J. M.;RAMAN, S.;APONTE, E. A.;BRODERSEN, K. H.;RIGOUX, L.;MORAN, R. J.;DAUNIZEAU, J.;DOLAN, R. J.;FRISTON, K. J.;HEINZ, A.",2017,84
"2271","KUJALA, JAAKKO;AALTONEN, KIRSI;GOTCHEVA, NADEZHDA;LAHDENPERA, PERTTI",2021,9
"2272","SASTRY, RAHUL;SUFIANOV, RINAT;LAVIV, YOSEF;YOUNG, BRETT C.;ROJAS, RAFAEL;BHADELIA, RAFEEQUE;BOONE, MYLES D.;KASPER, EKKEHARD M.",2020,2
"2273","LARZELERE, ROBERT E.;GUNNOE, MARJORIE L.;ROBERTS, MARK W.;LIN, HUA;FERGUSON, CHRISTOPHER J.",2020,9
"2274","DEAN, MICHELLE;CHANG, YA-CHIH",2021,7
"2275","CARRILLO-ESPER, RAUL;ELIZONDO-ARGUETA, SANDRA;DE JESUS SANCHEZ-ZUNIGA, MARTIN;RAUL CARRILLO-CORDOVA, JORGE",2007,4
"2276","UPHOFF, ELEONORA P.;PICKETT, KATE E.;CABIESES, BALTICA;SMALL, NEIL;WRIGHT, JOHN",2013,216
"2277","UNG, LAWSON;CHODOSH, JAMES",2022,0
"2278","MEYER, CHARLES;BEHM, NICOLE;BROWN, EMILY;COPELAND, NATHANIAL K.;SKLAR, MARVIN J.",2015,5
"2279","DAWOD, PHEPY G. A.;JANCIC, JASNA;MARJANOVIC, ANA;BRANKOVIC, MARIJA;JANKOVIC, MILENA;SAMARDZIC, JANKO;DAWOD, AYMAN GAMIL ANWAR;NOVAKOVIC, IVANA;ABDEL MOTALEB, FAYDA I.;RADLOVIC, VLADIMIR;KOSTIC, VLADIMIR S.;NIKOLIC, DEJAN",2021,0
"2280","ZENG, YI-BING;HSIAO, HSIN-MIN;CHAN, SHE-HUNG;WANG, YING-HSIN;LIN, YOU-YU;KUO, YU-HSUAN;GUH, JIH-HWA;LIANG, PI-HUI",2014,14
"2281","MARTINS, JORGE N. R.;ASCENSO, JOAO;CARAMES, GONCALO",2014,1
"2282","KITAMURA, YOHEI;HARA, KOICHI;TSUNEMATSU, KENICHIRO",2014,11
"2283","HEINTZ, SONJA;RUCH, WILLIBALD",2022,4
"2284","COOPER, K. BRADFORD;WILSON, MARK R.;JONES, MARTIN I.",2021,5
"2285","ALTAMURA, M;PERROTTA, E;SBRACI, P;PESTELLINI, V;ARCAMONE, F;CASCIO, G;LORENZI, L;SATTA, G;MORANDOTTI, G;SPERNING, R",1995,14
"2286","ROTELLA, JOE-ANTHONY;GREENE, SHAUN L.;KOUTSOGIANNIS, ZEFF;GRAUDINS, ANDIS;HUNG LEANG, YIT;KUAN, KELVIN;BAXTER, HELEN;BOURKE, ELYSSIA;WONG, ANSELM",2020,11
"2287","CORBETT, MARK;SOUTH, EMILY;HARDEN, MELISSA;ELDABE, SAM;PEREIRA, ERLICK;SEDKI, IMAD;HALL, NEIL;WOOLACOTT, NERYS",2018,17
"2288","LOVELAND, DAVID;DRISCOLL, HILARY",2014,32
"2289","PALICELLI, ANDREA;BONACINI, MARTINA;CROCI, STEFANIA;MAGI-GALLUZZI, CRISTINA;CANETE-PORTILLO, SOFIA;CHAUX, ALCIDES;BISAGNI, ALESSANDRA;ZANETTI, ELEONORA;DE BIASE, DARIO;MELLI, BEATRICE;SANGUEDOLCE, FRANCESCA;RAGAZZI, MOIRA;BONASONI, MARIA PAOLA;SORIANO, ALESSANDRA;ASCANI, STEFANO;ZIZZO, MAURIZIO;CASTRO RUIZ, CAROLINA;DE LEO, ANTONIO;GIORDANO, GUIDO;LANDRISCINA, MATTEO;CARRIERI, GIUSEPPE;CORMIO, LUIGI;BERNEY, DANIEL M.;ATHANAZIO, DANIEL;GANDHI, JATIN;CAVAZZA, ALBERTO;SANTANDREA, GIACOMO;TAFUNI, ALESSANDRO;ZANELLI, MAGDA",2021,12
"2290","BERRETTA, ROBERTO;PATRELLI, TITO SILVIO;FAIOLI, RAFFAELE;MAUTONE, DANIELE;GIZZO, SALVATORE;MEZZOGIORNO, ANTONIO;GIORDANO, GIOVANNA;MODENA, ALBERTO BACCHI",2013,13
"2291","VENANCE, SHANNON L.;HERR, BARBARA E.;GRIGGS, ROBERT C.",2007,8
"2292","BLAU, C. ANTHONY;LIAKOPOULOU, EFFIE",2013,15
"2293","WAN, TAO;HU, ZI WEN;MA, XIAO LING;YAO, HE;LU, KUAI",2008,26
"2294","AHMAD, A. J.;PAREKH, S.;ASHLEY, P. F.",2018,10
"2295","KHRARNOV, DIRNITRI M.;BIELAWSKI, CHRISTOPHER W.",2007,79
"2296","WILLIAMS, FELICITY R.;BERZIGOTTI, ANNALISA;LORD, JANET M.;LAI, JENNIFER C.;ARMSTRONG, MATTHEW J.",2019,40
"2297","BOAS, F. EDWARD;SRIMATHVEERAVALLI, GOVINDARAJAN;DURACK, JEREMY C.;KAYE, ELENA A.;ERINJERI, JOSEPH P.;ZIV, ETAY;MAYBODY, MAJID;YARMOHAMMADI, HOOMAN;SOLOMON, STEPHEN B.",2017,6
"2298","KRONBICHLER, ANDREAS;BREZINA, BILJANA;QUINTANA, LUIS F.;JAYNE, DAVID R. W.",2016,58
"2299","ERDOGAN, KIVILCIM EREN;DEVECI, MEHMET ALI;HAKKOYMAZ, ZEYNEP RUKEN;GONLUSEN, GULFILIZ",2019,0
"2300","EL HASBANI, GEORGES;MUSALLAM, KHALED M.;UTHMAN, IMAD;CAPPELLINI, MARIA DOMENICA;TAHER, ALI T.",2022,0
"2301","RIEDMILLER, F;JOCKISCH, A;SCHMIDBAUR, H",1998,21
"2302","FREY, ULRICH J.;RUSCH, HANNES",2013,28
"2303","MCDONALD, JW;BECKER, D;SADOWSKY, CL;JANE, JA;CONTURO, TE;SCHULTZ, LM",2002,109
